#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""04.05.2023 12:00"";""0.7"";""751.0"";"""";"""";""97"";""Ветер, дующий с юга"";""6"";"""";"""";""100%."";""Дождь незамерзающий с перерывами слабый в срок наблюдения. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 09:00"";""0.9"";""751.0"";"""";"""";""90"";""Ветер, дующий с юго-востока"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 06:00"";""0.1"";""753.0"";"""";"""";""88"";""Ветер, дующий с востока"";""7"";"""";"""";""100%."";"" "";"""";"""";""-2.1"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""99.0""",,,,,,
"""04.05.2023 03:00"";""-2.0"";"""";"""";"""";""92"";""Ветер, дующий с востока"";""7"";""16"";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 00:00"";""-1.4"";"""";"""";"""";""93"";""Ветер, дующий с востока"";""12"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 21:00"";""-0.3"";""758.0"";"""";"""";""84"";""Ветер, дующий с востока"";""11"";""13"";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 18:00"";""-0.6"";""760.0"";"""";"""";""91"";""Ветер, дующий с востока"";""8"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";""2.3"";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,
"""03.05.2023 15:00"";""0.3"";""761.0"";"""";"""";"""";""Ветер, дующий с востока"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 12:00"";""0.2"";""761.0"";"""";"""";""86"";""Ветер, дующий с запада"";""4"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""03.05.2023 09:00"";""0.3"";""761.0"";"""";"""";""88"";""Ветер, дующий с юго-запада"";""5"";"""";"""";""50%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
